PAGE	DESCRIPTION	ID	TAGS	ENGLISH TEXT	CHINESE TEXT
Splash	Logo	logo01		CHANTECAILLE	CHANTECAILLE
Splash	Title	logo02		WILD BEAUTY	WILD BEAUTY
Splash-Pop-Up	Title	spla01		Hi there!	您好！
Splash-Pop-Up	Body	spla02		Welcome to Chantecaille Wild Beauty.	歡迎使用香緹卡關愛大自然APP
		spla03		Bring six of Africa’s most endangered species into your world and photograph them in action!	隨時隨地與六款非洲瀕危動物合照
		spla04		Share your photos with the hashtag #ChantecailleWild and see how your post can help support their future conservation.	歡迎大家於社交平台分享照片， 標籤 #ChantecailleWild 支持保育團體。
Splash-Pop-Up	Button	spla05		Off we go!	立即開始
Top-Menu	Section Headings	head01		TAKE A<br>PICTURE	<size=44>拍照</size>
		head02		VANISHING<br>SPECIES	<size=44>瀕危<br>動物</size>
		head03		LUMINESCENT<br>EYE SHADES	<size=44>閃爍光采<br>眼影</size>
		head04		ABOUT<br>CHANTECAILLE	<size=44>關於<br>香緹卡</size>
		head05		HAVE AN<br>IMPACT	<size=44>凝聚保育<br>力量</size>
Take-A-Picture	Opening Paragraph	tap01		Select an animal below to make them come to life and view them in your world.	請選擇以下一款動物， 即時呈現於您的真實世界。
Take-A-Picture Safety	Title	taps01		SAFETY	注意安全
Take-A-Picture Safety	Paragraph1	taps02		Please be alert at all times and stay aware of your surroundings	請留意周圍環境
Take-A-Picture Safety	Paragraph2	taps03		Ensure that children have supervision when using Augmented Reality	適當指導小童如何使用此擴增實境APP
Take-A-Picture-active	UI Icon of phone moves around	tapi05		Scan the floor to begin	掃描地面以開始體驗
Take-A-Picture-active	3D Chantecalle box floats in the room and follows the foor	tapi06		Tap anywhere to place the compact	按螢幕的任何位置<br>放置眼影盒
Take-A-Picture-active	The box is placed on the ground	tapi07		Now tap the compact to open	按眼影盒面以開啟
Take-A-Picture-active	Animal has appeared in AR	tapi08		Tap the floor to make the animal walk there	按地面讓動物步行
Take-A-Picture-active	Animal has appeared in AR	tapi09		Use two fingers to pinch the screen and resize the animal	以兩指控制螢幕以調較<br>動物尺寸
Take-A-Picture-active	Take a Picture Title	tapi10		TAKE A PICTURE	拍照
Pop-up-after-photo	Title	popu01	New English Text	MAKE YOUR PHOTO COUNT	請即分享您的照片
Pop-up-after-photo	Opening Paragraph	popu02	New English Text	Each photo = additional $ <br>to help save endangered species 	分享照片 = 支持保護瀕危動物
Pop-up-after-photo	Paragraph 1	popu03	New English Text	Post your pic and tag <br>#ChantecailleWild 	歡迎大家於社交平台分享照片， 加入標籤 #ChantecailleWild 
Pop-up-after-photo	Button	popu04	New English Text	GOT IT!	確定
Take-A-Picture-info	Title	tapI01		HOW TO USE	如何使用?
Take-A-Picture-info	Icon description	tapI02		Scale the animal with 2 fingers	以兩指控制及調較動物尺寸
Take-A-Picture-info	Icon description	tapI03		Place the animal by dragging it to where you want it	因應您的喜好位置放置動物
Take-A-Picture-info	Icon description	tapI04		Turn the animal by rotating on the animal with 2 fingers	以兩指控制及旋轉， 改變動物站立的方向。
Take-A-Picture-info	Icon description	tapI05		Tap on the floor to make the animal walk to that location	按地面的特定位置， 改變動物步行的方向。
Take-A-Picture-info	Paragraph 1	tapI06		Want to know more about this animal?	想了解更多此動物?
Take-A-Picture-info	Paragraph 2	tapI07		These unique and beautiful creatures are vanishing in the wild - but they are being helped by local conservation organizations in their native habitats. Learn more by clicking below.	這些美麗獨特的動物現正瀕臨絕種， 各保育團體致力保護牠們的自然棲息地。 請按下列了解更多。
Take-A-Picture-info	Button	tapI08		ANIMAL INFO	動物資訊
Vanishing-Species-Cheetah	Title	vsC01		CHEETAH	獵豹
	Partner Text	vsC02		OUR PARTNER:	合作伙伴：
	Partner Name	vsC03		CHEETAH CONSERVATION FUND	CHEETAH CONSERVATION FUND<br>(獵豹保護基金會)
	Fact	vsC04		90% of all cheetahs, the world's fastest land animal, have vanished in the last century. 	獵豹是世界上於陸地奔跑速度最快的<br>動物， 地球上90% 的<br>獵豹已於上世紀消失。
	Scroll Instructions	vsC05		SCROLL FOR MORE	往下瀏覽更多
	Photo by name	vsC06		Photo: Mark Drury	鳴謝相片來源: Mark Drury
	Text Panel 2 Sub Heading	vsC07		COOL TO KNOW 	冷知識
	Text Panel 2  Body	vsC08		The cheetah is the only big cat that doesn't roar, but purrs and even barks. Cheetahs have amazing vision, able to spot prey a mile away. 	獵豹是唯一不會咆哮的貓科動物， 但會呼嚕甚至吠叫。 牠們有驚人的視力， 可發現遠逾一英里外的獵物。 
	Text Panel 3 Sub Heading	vsC09		WHY THEY'RE VANISHING	瀕臨絕種的原因
	Text Panel 3  Body	vsC10		Human population growth has led to dwindling natural habitat, bringing cheetahs into closer range with local communities and livestock farmers looking to defend their animals from attack. Baby cheetahs are also stolen and traded internationally as pets.	人口增長導致自然棲息地逐漸減少， 令獵豹更接近民居， 畜牧農夫切法保護牲畜免受傷害； 幼年獵豹亦被捕獵及販賣各地作寵物飼養。 
	Text Panel 4 Sub Heading	vsC11		WHAT'S BEING DONE ABOUT IT	保育工作
